,Date,Username,Displayname,Tweet Content,Amount of Replies,Retweet Count,Like Count
36,"Sep 29, 2015 · 9:34 AM UTC",@sojho_chor,सोझो चोर™🇳🇵,"भुकम्प आयो, ठूलो घर भन्दा सानो घर हुनेको फुर्ति। नाकाबन्दी भयो, गाडी भन्दा साइकल हुनेको फुर्ती।  भन्छन् नि! समय गोलो छ, सप्पैको पालो आउँछ। 😎",1,14,21
37,"Sep 29, 2015 · 10:29 AM UTC",@ekantipur_com,ekantipur,डा केसीले अनसन तोडे kantipur.ekantipur.com/news/…,2,20,46
38,"Sep 29, 2015 · 1:27 AM UTC",@thapagk,Gagan Thapa,"संसारकै  ""ठूलो लोकतन्त्रको ""सानो छिमेकीसँगको यस्तो तुच्छ व्यवहारले हामीलाई सानो दुख हुन्छ तर अन्ततःठूलोले नै ठूलो क्षति ब्योहोर्नुपर्छ।",115,422,874
39,"Sep 29, 2015 · 1:33 AM UTC",@Prakash_Messi,🇳🇵प्रकाश☆सुवेदी,चाहे झुकोस निलो अाकाश यो नेपाली झुक्दैन! हामी  वीर गोर्खाली हौं कसैको हस्तक्षेप स्वीकार छैन #जय_नेपाल #BackoffIndia,4,9,14
40,"Sep 27, 2015 · 12:17 PM UTC",@sojho_chor,सोझो चोर™🇳🇵,"नेपालमा संबिधान बनाएको हो,इरानले जस्तो रसायनिक हतियार,अणु बम बनाएको हैन त किन डराएको यो भारत यसरी? #BackOffIndia",1,28,61
41,"Sep 26, 2015 · 4:14 PM UTC",@ashim_pokharel,असिम,भारत को नाकाबन्दी पछि नेपालिले यस्तो प्रगती गर्नु पर्छ कि नेपाल छिर्न को लागि धोतिहरुले DV भर्नुपरोस #UNspeakforNepal #BackOffIndia,4,45,73
42,"Sep 26, 2015 · 10:02 AM UTC",@Ujyaalo,Ujyaalo,#BreakingNews एमाओवादीका नेता भट्टराईद्वारा पार्टी परित्याग गरेको घोषणा fb.me/4AYLd1yLc,4,17,30
43,"Sep 26, 2015 · 3:15 AM UTC",@subinbhattarai1,Subin Bhattarai,"केटाकेटीहरु जित्न नपाए रुन्छन्, भारतले जित्न पाएन नाकाबन्दी ठोकिदियो । केटाकेटी बुद्धि ! कहिले परिपक्व हुन्छौ होला !",1,103,180
44,"Sep 25, 2015 · 2:30 AM UTC",@love_pk4,प्रकृति पौडेल,आज फलो फ्राइडे फल्नुस् फलाउनुस् मित्रता बढाउनुस् साथमा बकर इद को शुभकामना छ होई आज त होलिडे फ्राइडे वाओ क्या दामी,1,1,6
45,"Sep 25, 2015 · 3:45 AM UTC",@amar_babu1,अमर बाबू,माया एक थोक बनेर आउँछ सब थोक लिएर जान्छ ।तेहि भयर भुल्न गाह्रो हुन्छ तर  पनि भुल्नै पर्छ।,0,61,87
46,"Sep 24, 2015 · 3:47 PM UTC",@SonOfKarki,कुमार कार्की 💙,छिमेकीको बुइ चढेर आफनै घरमा आगो लगाउने छोरा लाइ नेपाल आमाले कु-पुत्र सन्तान सम्झेर दागबत्ती दिदा हुन्छ । ठोक्दे गोलि कु-पुत्र भारती दलाललाई,5,95,147
47,"Sep 24, 2015 · 1:27 PM UTC",@Being_Raam,नेपालको राम,"श्रम बेच्नुलाइ""दासता""र""गुलामी""ठान्ने हरु दुनियाँका सबैभन्दा ठुला""घमण्डि-मूर्ख""हुन। यो संसारको सबैभन्दा""पवित्र""र""ईमानदारपुर्ण""व्यापार हो #राम",4,586,546
48,"Sep 21, 2015 · 7:02 PM UTC",@love_pk4,प्रकृति पौडेल,यो मन त मेरो नेपालीहो भारतलेजतिसुकै हेप्न खोजोस् आफ्नो स्वाभिमान कहिल्यै डगमगाउन दिइनेछैन सधै स्वतन्त्रता बाचिन्छ जयनेपाल जयनेपाली शुभरात्री,1,2,6
49,"Sep 23, 2015 · 3:18 PM UTC",@love_pk4,प्रकृति पौडेल,आज त छुट्टै महशुस भयो यो जीवन म केही नयाँ प्रगती को पथम पुगिएछ क्यार धन्यवाद आज यो स्थानमा पुर्याउन अथाह प्रयास गर्ने सबैलाई,0,1,4
50,"Sep 23, 2015 · 1:13 PM UTC",@Bhandaridipika,Dee Pee ka,Just setting up my Twitter. #myfirstTweet,0,1,0
